acc_x_mpf,acc_y_mpf,acc_z_mpf,acc_x_iqr,acc_y_iqr,acc_z_iqr,acc_x_wilson_amp,acc_y_wilson_amp,acc_z_wilson_amp,acc_x_crossco,acc_y_crossco,acc_z_crossco,acc_x_three_quarters,acc_y_three_quarters,acc_z_three_quarters,acc_x_one_quarter,acc_y_one_quarter,acc_z_one_quarter,acc_x_corecoef,acc_y_corecoef,acc_z_corecoef,acc_mpf,acc_x_slope_change,acc_y_slope_change,acc_z_slope_change,acc_x_rms,acc_y_rms,acc_z_rms,acc_x_stdev,acc_y_stdev,acc_z_stdev,acc_x_mean,acc_y_mean,acc_z_mean,acc_x_mad,acc_y_mad,acc_z_mad,acc_x_zerocr,acc_y_zerocr,acc_z_zerocr,acc_x_wf,acc_y_wf,acc_z_wf,acc_x_mav,acc_y_mav,acc_z_mav,acc_x_p2p,acc_y_p2p,acc_z_p2p,acc_x_median_frequency,acc_y_median_frequency,acc_z_median_frequency,acc_x_entropy,acc_y_entropy,acc_z_entropy,acc_x_kurtosis_t,acc_y_kurtosis_t,acc_z_kurtosis_t,acc_x_kurtosis_f,acc_y_kurtosis_f,acc_z_kurtosis_f,acc_x_skewness_t,acc_y_skewness_t,acc_z_skewness_t,acc_x_skewness_f,acc_y_skewness_f,acc_z_skewness_f,acc_x_top3,acc_y_top3,acc_z_top3,acc_x_autoregyw_1,acc_x_autoregyw_2,acc_x_autoregyw_3,acc_x_autoregyw_4,acc_y_autoregyw_1,acc_y_autoregyw_2,acc_y_autoregyw_3,acc_y_autoregyw_4,acc_z_autoregyw_1,acc_z_autoregyw_2,acc_z_autoregyw_3,acc_z_autoregyw_4,acc_x_autoregburg_1,acc_x_autoregburg_2,acc_x_autoregburg_3,acc_x_autoregburg_4,acc_y_autoregburg_1,acc_y_autoregburg_2,acc_y_autoregburg_3,acc_y_autoregburg_4,acc_z_autoregburg_1,acc_z_autoregburg_2,acc_z_autoregburg_3,acc_z_autoregburg_4,acc_z_enwacto_1,acc_z_enwacto_2,acc_z_enwacto_3,acc_z_enwacto_4,acc_z_enwacto_5,acc_z_enwacto_6,acc_z_enwacto_7,acc_y_enwacto_1,acc_y_enwacto_2,acc_y_enwacto_3,acc_y_enwacto_4,acc_y_enwacto_5,acc_y_enwacto_6,acc_y_enwacto_7,acc_x_enwacto_1,acc_x_enwacto_2,acc_x_enwacto_3,acc_x_enwacto_4,acc_x_enwacto_5,acc_x_enwacto_6,acc_x_enwacto_7,activity
8.142799959420005,8.617115285197972,11.239035197396516,11.576846307385228,8.582834331337326,14.570858283433134,-160.0,-86.0,-186.0,65.01648860122077,-136.0370166322682,-64.15538700763136,12.574850299401197,10.778443113772456,17.16566866267465,0.998003992015968,2.1956087824351296,2.594810379241517,-0.1821345985057469,0.0823735864216136,-0.6210430494275186,1.5388248466446015,4,40,20,1.0363917223603123,0.4801759631227531,0.4044464253324862,0.187720995931771,0.2002607712735424,0.0745201966023024,0.9416801467865052,0.1752367152901228,-0.2986728264662082,0.1204833984374998,0.1364593505859375,0.130340576171875,4,40,20,33.76145935058594,39.60475158691406,35.32135009765625,472.0772857666016,143.44203186035156,155.4319305419922,2.96881103515625,2.8980712890625,1.7393646240234375,6,14,8,4.362770442938551,4.583515896565013,5.54384030724459,3.93127344938829,8.055317569631407,5.591617383003252,264.80835977507246,34.012383715239785,91.08063530587924,-0.1878840746116761,1.966822222973274,-1.3976869900804074,14.632595169697462,5.182694594491284,7.546167332523384,9,13,17,1.9457690328834485,-1.7108900926567023,0.9252155879466644,-0.2146629204473274,1.5043531082257648,-0.5650903696968289,0.0613460145733772,-0.0808639494290804,1.4983551894761535,-1.0298226989618762,0.4837624728386733,-0.0884620100006594,1.8754774040406108,-1.5622471712872743,0.7937014078914659,-0.1633032749728414,1.4666459705648849,-0.5095798517248955,0.0380222142522638,-0.0784101845413566,1.4802760361478942,-0.9980716407848392,0.45923483209612,-0.0790642068720051,0.4133191681204197,0.0250177175107304,0.1533123302630115,0.0781595203515209,0.0047048963485938,0.0027233682110084,0.0004829760557472,0.2383385544066401,0.0423148820369555,0.1460524425140978,0.050477844574075,0.0052448640043908,0.0041131915102439,0.0004578326079093,0.2380346841990707,0.0142968982548844,0.1082291941273672,0.0256190978283042,0.0010769169657466,0.0040240236877514,0.0008768690295996,downstairs
9.87175418847422,10.295955641872116,11.618740498015455,13.373253493013973,11.976047904191615,14.171656686626749,-62.0,62.0,-74.0,81.2303625761997,-159.70306559861638,-85.09490724769421,14.97005988023952,14.770459081836329,17.365269461077844,1.596806387225549,2.7944111776447107,3.193612774451098,-0.1101634633772324,0.1973807082723573,-0.5415046574792439,1.7119000828908588,4,53,22,1.0797772710540472,0.5360379087309127,0.5163240665079207,0.2300656616668106,0.249887163816215,0.13354792980609,0.9676324231419972,0.1948031122812968,-0.3651152894406499,0.2177276611328125,0.170379638671875,0.1280975341796875,4,53,22,48.27174377441406,55.471435546875,49.8204345703125,486.0897521972656,173.2710418701172,198.3011474609375,4.023956298828125,3.939468383789064,3.109222412109375,6,14,12,4.923009866089775,4.986804651112965,5.689292354239576,4.917374083946693,5.2076394789638645,5.819813752877649,250.38202349690067,33.25447045939726,75.7918998650526,0.2795193760341843,1.0400974995037742,-0.7387496525933513,14.049033588906765,4.859776309981129,6.760424380137647,4,8,12,1.6327068431177263,-1.287360373895612,0.7711184146770373,-0.2165796932425419,1.719903122095847,-1.3827852889624623,0.925314760643578,-0.3726051852409984,1.5439307607194293,-1.1816170601775078,0.7060262851184569,-0.2676047229568848,1.5970243454724165,-1.2191783619264334,0.7124552935706872,-0.1919922223930815,1.678255366971495,-1.2969163519479503,0.8487028299067417,-0.3417565425249265,1.5187383799842855,-1.1345803894373516,0.665824995115089,-0.2509837724539078,0.6103260226010906,0.1296395653053376,0.1261906165130638,0.018849528330009,0.0077941815353036,0.001627785254804,0.0007490410808037,0.1503273791555372,0.0310087455966317,0.0510882584855414,0.1770891383757097,0.0083616840401446,0.0012222421889861,0.0002337431095371,0.2228396574321041,0.133607501886541,0.1079583495897336,0.1105074382636806,0.0037964935659081,0.0010341246590593,0.0014663081671222,downstairs
9.120953006864308,9.485055066876608,11.802729874271488,14.37125748502994,10.778443113772456,15.169660678642714,-54.0,70.0,-86.0,83.61877055745572,-153.59063501865603,-83.72560634533875,15.5688622754491,13.373253493013973,18.16367265469061,1.1976047904191618,2.594810379241517,2.9940119760479043,-0.1123066540170215,0.1140612268648887,-0.5229390634485587,1.7032481058391031,4,45,30,1.0716112222443288,0.5669331085598294,0.4908855498184648,0.2258640309470797,0.2807200629304458,0.1262202867056037,0.9606963136714852,0.2031093452742951,-0.3391169016946576,0.2377624511718751,0.1963348388671875,0.1588897705078125,4,45,30,46.39884948730469,58.80027770996094,52.79209899902344,482.2478485107422,182.8271484375,188.25230407714844,2.541946411132812,4.113449096679688,3.449005126953125,6,14,14,4.662569645575122,5.19810322565496,6.043583013154238,2.791528386839457,5.60464984923274,6.971942659149373,246.88378861105684,24.924656928659747,66.80502331654739,-0.2701317861364291,1.2160644582166389,-0.6907589154589042,13.95384566531378,4.259617011283899,6.097789235705776,8,13,35,1.7843554105080812,-1.650428222918357,1.2069061009408404,-0.4047598560658778,1.9371086222740264,-1.755266718057067,1.1110585439648009,-0.3876243885434318,1.5822073351951718,-1.2972570953859697,0.7491081380887682,-0.2180620704478222,1.7073761009670116,-1.502382964018225,1.0689971789545094,-0.3399354003234949,1.862895877701687,-1.5947676265448931,0.967422021361924,-0.3326708253394878,1.5607824278616764,-1.257669062992428,0.7149005804990802,-0.2036031778901833,0.5425452943915263,0.160855367642051,0.209479671833771,0.1051980249758263,0.0050139637268416,0.0052125265915601,4.389440014052258e-05,0.1355661824586441,0.2018997911815762,0.1912266212686137,0.0970191238494154,0.014423129118164,0.0165917920952014,0.0002340172337844,0.1711105701273748,0.0421592578359283,0.1206634474829726,0.0101440718841851,0.0088140334188789,0.0041795883086231,0.0008206669941237,downstairs
9.207029234401023,8.717761198188557,11.410488838128114,14.770459081836329,8.982035928143713,13.373253493013973,-60.0,76.0,-52.0,84.08977368148044,-165.06047795480117,-89.09614292928018,15.768463073852296,11.57684630738523,16.766467065868262,0.998003992015968,2.594810379241517,3.393213572854292,-0.2136797581408168,0.143903390773397,-0.4358455225131393,1.7505959760167165,6,44,34,1.0815394589864464,0.589887611409651,0.5309440229275927,0.2642954037553334,0.2916465155884449,0.1413326993581007,0.9518191704968968,0.2385435123405532,-0.375301155501497,0.3435668945312501,0.2078399658203125,0.2014923095703125,6,44,34,52.87518310546875,60.50953674316406,53.69456481933594,478.4808807373047,194.6624298095703,203.9052734375,2.844512939453125,3.27716064453125,3.037322998046875,6,14,14,4.475370554072991,4.722590491229223,5.62117273190161,2.7907302485558687,4.697877932455048,5.207923250721131,222.4422973562215,34.81112318462974,77.98005129482293,-0.0866856508402705,1.2254066547519054,-0.8952689786672824,13.180463699818535,5.139890967064189,6.915811918427347,4,9,22,1.767309964792788,-1.6202345314495126,1.1093266919090186,-0.3191824555325893,1.910591036971481,-1.4958187368352125,0.718779946122478,-0.2129304778629452,1.6389322989674464,-1.3033966971026665,0.6550677164405079,-0.1479937507219827,1.7195278732921595,-1.5300079884483062,1.0242738247619505,-0.2768766595667012,1.808668620334516,-1.275118550205463,0.533261910642828,-0.1502545286727446,1.613005344617409,-1.2539673109859562,0.6133052128017304,-0.1311388620670156,0.5800743534948598,0.2475438377647344,0.1327389919997541,0.0096782477036016,0.0058580053959812,0.0133291210570451,0.0006087424532148,0.1003181431300305,0.2190721032450657,0.1987976520495806,0.0065608923538736,0.0089142051709232,0.0117829949392329,0.0001620048824629,0.1871527963695662,0.0278780591164768,0.0660127420274048,0.0005606349505837,0.0019213617004019,0.0350914744107748,0.0096380845009916,downstairs
10.73096849164878,9.705442098679333,11.29735616632305,14.570858283433136,10.379241516966069,13.17365269461078,-44.0,52.0,-78.0,76.64155912958086,-164.92763751232997,-87.40885002235882,16.167664670658684,12.974051896207586,16.167664670658684,1.596806387225549,2.594810379241517,2.9940119760479043,-0.119958606534532,0.1320106893277383,-0.5193069009004636,1.7288555213791168,4,49,32,1.0912582765730408,0.5506763055916822,0.5366699929779095,0.2405548334656423,0.2684038832731907,0.1559864142745538,0.9750743264447668,0.1880857425773453,-0.3637851250623752,0.2317047119140625,0.1649627685546875,0.158966064453125,4,49,32,51.60699462890625,53.34413146972656,51.04559326171875,489.7464904785156,175.39447021484375,201.01565551757807,4.19427490234375,3.8300170898437496,3.494781494140625,6,14,12,4.988884633260634,4.831096462686324,5.595859671990972,6.216573758255769,6.006468225370944,5.18940852339935,248.32882426643943,35.25840461810815,64.72755932305516,0.5384164510984276,1.3593586764212382,-0.6575165622471987,13.983318489763583,5.057408969555361,6.316959983965651,4,8,12,1.5402292314167187,-1.1323616322172287,0.6162166459112628,-0.133107051944665,1.7918860885544092,-1.5029713659822277,1.0497102883682443,-0.436788456477591,1.4871477631571024,-0.9831197955234716,0.4819711463746753,-0.1580913179338055,1.5780091084726815,-1.2014280006274445,0.6770229984726636,-0.1623343138431242,1.7339969675660978,-1.3808008986940306,0.9408605535284184,-0.3939029632420056,1.472499517932323,-0.957075163991783,0.4612251807934573,-0.150815128167309,0.611697056551573,0.0887619059550879,0.0761491080977748,0.0159383910847603,0.0005417327975085,0.0041261317275055,0.0045719560156318,0.0848538332924229,0.2190566278132441,0.2511366509793281,0.0026201159609101,0.0209468659526436,0.0069517881954155,0.0048767070480582,0.1773239268708886,0.0416346020673824,0.0816185888137492,0.0078566834558687,0.006207478702624,0.0201098908599206,0.0012152012851024,downstairs
10.346218546890071,10.18698537037714,11.78311213128744,14.97005988023952,12.17564870259481,14.770459081836323,-12.0,64.0,-82.0,83.89158853841946,-156.6443742616102,-89.34229539940134,16.56686626746507,14.97005988023952,17.564870259481037,1.596806387225549,2.7944111776447107,2.7944111776447107,-0.1666575157202312,0.2619728325730897,-0.4793408148012191,1.7528416372820763,6,43,26,1.0789690216130443,0.5594522961709602,0.5407060892452911,0.2484749803372833,0.265312360179356,0.1488784500974233,0.9571808226808104,0.2195542691472523,-0.3791856898994978,0.2436370849609374,0.2269287109375,0.190155029296875,6,43,26,53.186553955078125,57.43560791015625,51.78369140625,480.7210540771485,189.5667266845703,207.8858795166016,3.092498779296875,3.8160400390625,3.705169677734375,6,14,8,5.079268213987576,5.307755283863635,5.778470762099153,3.3522651211298675,4.692314974572748,6.23662536282536,235.1639207705307,25.205856642410275,73.70681043953246,0.1972839103538215,0.8231254164503785,-0.3515381327299402,13.429088880494636,4.240075417150268,6.624927974405268,4,8,14,1.5826551619085891,-1.2977816158020237,0.9521557651618214,-0.3324855150817805,1.7120336779373175,-1.3954005897648731,0.9557584009192552,-0.3810445277970495,1.442916473407705,-0.9995263382282568,0.5294596398935161,-0.1446669160258678,1.62081279475225,-1.3692449297667817,1.024949241770688,-0.3673016698719772,1.679473590333942,-1.3289532862299915,0.905495519948398,-0.3637627561775254,1.4232820776797188,-0.9649195367704356,0.5011094155250219,-0.1330859598874916,0.6951172419699357,0.1385663044844145,0.0794099386976179,8.937794507682197e-05,0.0030157025655158,0.0006823868148162,0.0059874136880902,0.019061605971258,0.2068634542733526,0.0352624609140722,0.0063583909444403,0.0125903124276096,0.0125370085239811,0.0084838491224927,0.0734599786628277,0.025600142099476,0.0099220049645173,0.009569042706822,0.0068369263367968,0.0006215979457793,0.0087477488161919,downstairs
10.14640713627459,9.861147608222698,12.675055311923856,13.772455089820358,10.179640718562874,15.568862275449105,-24.0,36.0,-66.0,78.06843320140615,-152.94865491287783,-81.87952615646645,15.5688622754491,12.774451097804391,18.7624750499002,1.7964071856287425,2.594810379241517,3.193612774451098,-0.1186210204936033,0.1628829531311159,-0.4646860208465734,1.7033188871280875,10,40,28,1.087215758010136,0.5587427781669677,0.5158977713192084,0.3307113935266846,0.2698284187569094,0.1313898117175277,0.9230313177356224,0.2071319701904784,-0.3674546963202501,0.3055419921875001,0.1995849609375,0.152313232421875,10,40,28,60.62825012207031,53.71876525878906,51.87448120117188,468.0570983886719,184.59971618652344,200.70594787597656,4.406707763671875,3.144622802734375,2.80072021484375,6,14,14,5.100579836817436,4.80585370066797,5.832651344413872,5.036023467533922,5.457790354339921,5.108366197435958,184.327718889514,36.360803824538046,80.86675941235544,0.5536620139950793,1.4436780308971011,-1.0404415596665273,11.580047108913751,5.14762766548721,6.982443904104283,4,9,13,1.6124110922229005,-1.2444737146919602,0.6529020608159413,-0.1335058717060054,1.3943550803923943,-0.4673670586757556,0.0156726138183249,-0.035338476420535,1.287876473932477,-0.7691183513802299,0.423440683874435,-0.1516055698611293,1.7149469476052124,-1.4440381189771216,0.8303084316773208,-0.2093527732890666,1.433501468116908,-0.5388956900468658,0.0588980864178799,-0.0455933680981762,1.3203901208188271,-0.8236198730130786,0.4694830520323466,-0.1692185903869295,0.6345444804355675,0.0319366312700847,0.0286389580118636,0.0259946531718737,0.0020226126269401,0.0024628285451765,0.0001190285599372,0.0219369232494454,0.0979688770185774,0.0743323695945664,8.038674756904214e-05,0.0076609673454064,0.0032471947848432,7.055921645637247e-05,0.2041294994128956,0.0587465349049725,0.0322291865222952,0.0073981934438467,0.0656723715725386,0.0031280264860705,0.0011794191351403,downstairs
13.638814191011162,12.679266214379815,19.85681389662286,17.16566866267465,16.96606786427146,24.55089820359282,122.0,162.0,64.0,106.0157745659817,-107.56821143161504,-80.65004345425405,20.758483033932137,19.960079840319363,32.33532934131737,3.592814371257485,2.9940119760479043,7.7844311377245505,-0.0363026188012772,0.3270622421036941,-0.3963514817244283,1.838571422828172,16,56,38,1.1734841639020093,0.5469921960065054,0.5627306548546841,0.358211459825771,0.2511564368270113,0.2245095654419657,1.009736904365098,0.220330061312921,-0.3043096241598834,0.2292633056640625,0.2567901611328125,0.13909912109375,16,56,38,98.87989807128906,72.48713684082031,89.05857849121094,519.7064056396484,200.8288726806641,200.5890045166016,5.062164306640625,3.7150726318359375,5.650543212890625,6,14,52,6.439921594268485,5.726785920111466,7.038884802550665,9.017237900504622,5.391588645064091,23.335955566894715,211.1300622669297,24.534434588685908,27.60646554146208,1.283973077232559,-0.4319071357049569,-2.4718090036318583,12.1069404697823,3.943963861407034,3.365831307801749,4,14,18,1.1704128779315317,-0.777322765093968,0.450076385927415,-0.1663654691318445,1.469799360578912,-1.1847213492286282,0.8461040352551413,-0.3074960772069928,0.4384196772202093,-0.0341044274965813,0.0123858638223563,-0.1190768063441379,1.1637141240161513,-0.7668387702078818,0.4421225748740467,-0.1633614614016706,1.4576117120375822,-1.162964411466098,0.8266316420885724,-0.298461144202993,0.4376465149089061,-0.0340649367528013,0.0118760855066391,-0.1182105391039172,0.4973729319021154,0.0120813267034395,0.0987650722456987,0.1824014096361298,0.0038290369833708,0.2329411503327183,0.0104387723312352,0.1660035365822383,0.0724427207196267,0.0119327288931816,0.0275758592816666,0.0123384162115116,0.0185988126249407,0.0038665651110926,0.1950580152385078,0.0227876912017996,0.0113548048415885,0.0153884945571233,0.0073669451125042,0.1485332475814615,0.0023983161797889,upstairs
13.485938700244256,12.434378121460796,19.770206208343016,16.96606786427146,15.968063872255488,25.74850299401198,110.0,184.0,22.0,123.14289621030912,-109.2873741851654,-63.72476303204894,20.35928143712575,18.962075848303392,32.33532934131737,3.393213572854292,2.9940119760479043,6.586826347305389,0.0188931118243852,0.3433642474406674,-0.2813485048176243,1.7718883522018465,10,44,32,1.1229344383971196,0.5159055271451765,0.5181182308059495,0.2862176429840258,0.2069201323685874,0.1791349637590816,0.9875907060390936,0.2442363502974519,-0.2994479790419161,0.2059478759765626,0.227203369140625,0.1307220458984375,10,44,32,88.91131591796875,70.78044128417969,71.04156494140625,503.7911224365234,196.55995178222656,187.364990234375,4.9107208251953125,3.30853271484375,5.7260589599609375,6,14,44,6.084537821902311,5.615646526463639,7.007373557318054,10.249231646492698,5.326597328679004,42.74064296618479,234.61453379837693,28.79503577039967,35.362454922090755,1.315259916734162,-0.7514656955141736,-3.998709186733515,13.137724480026828,4.319661598816586,3.85117044541728,4,13,50,1.2157420413840287,-0.8359310202405126,0.5013176269627214,-0.1890295230707622,1.5004857914253875,-1.1845772022562302,0.8034157355102373,-0.3210954887588881,0.4549814222262379,-0.03877392023604,0.0978847472889153,-0.1333972655242619,1.216011252797046,-0.8357835320611368,0.5023641486936816,-0.1899537905977958,1.478485638683254,-1.144496976705697,0.7684850969107098,-0.3057029073831261,0.4540488793675186,-0.0382913245214226,0.0970831302316559,-0.1321260559529088,0.5740658422749761,0.1032837608611827,0.1979766855101858,4.773017568975223e-05,0.0127319221079526,0.0137575802580954,0.0027656847553829,0.1522490059662896,0.0608775943447786,0.1986418649748449,0.0243963504964617,0.0066169954230776,0.0121220331635853,0.0034116489735351,0.123861994525102,0.0785769657680308,0.0658207221593624,0.1088104750173808,0.0057683966410758,0.012058160570449,0.0022868863856897,upstairs
13.3091467043252,11.968522279460544,18.9738760819626,17.964071856287426,15.568862275449105,23.95209580838324,108.0,162.0,28.0,108.06769455224276,-116.43194781336932,-66.24271302530542,20.95808383233533,18.562874251497007,30.93812375249501,2.9940119760479043,2.9940119760479043,6.986027944111776,0.0769907940747172,0.2707385536947579,-0.398780660776918,1.7353306692279504,12,49,30,1.1109161332066095,0.4800143759542525,0.5077965816689117,0.293674110077474,0.1893052650667774,0.1673951612828751,0.9700756263352202,0.2036820828557728,-0.3013242923333021,0.2099609374999999,0.24847412109375,0.12664794921875,12,49,30,80.54989624023438,64.97792053222656,71.71865844726562,498.1347503662109,184.00328063964844,187.2626342773437,4.9688568115234375,3.680130004882813,5.848480224609375,6,10,44,6.331748927260149,5.867767618516693,7.028685895756206,11.39063286485592,5.541875459004887,35.27361984567575,228.52443655278543,18.37522979018772,40.02817017988606,1.2247782161983658,-0.5106576280900967,-2.9642068577452574,12.826083874641018,3.4772773036320404,4.119602954171117,5,11,13,1.1506071993873177,-0.7155485957156626,0.4315785602379098,-0.1203624743284526,1.6069431949862747,-1.3413636330996377,0.8434026078568174,-0.2771995024426644,0.509946998850301,-0.063866280885419,0.0834175401588975,-0.1751980622906983,1.148060376417422,-0.7113424246584469,0.4275196251930117,-0.1153278405882582,1.5873730422771324,-1.3053844131602106,0.8163101934790444,-0.2677747181785627,0.5089343487677223,-0.0631548954503858,0.0828751760131693,-0.1739997862619428,0.5776252918769463,0.0242368015115465,0.0196173786792206,0.004073134751385,0.0040945661257228,0.0008868719919688,0.0010086416698536,0.0480456641458436,0.0604572342971371,0.1112151057572439,0.0211034928073558,0.0250118126643929,0.0027574196995801,0.0013440314115875,0.1910045626346857,0.0206235986233452,0.0290841834923444,0.0003966285238149,0.0059338873318874,0.0031231395970274,0.0054281634325074,upstairs
