x,y,z
8.8869431364,2.4813570362,2.703889538
8.9623170483,2.6715864329,2.9539394997
8.9623170483,2.6715864329,2.9539394997
9.0161555568,2.6943182476,3.086741154
9.0161555568,2.6943182476,3.086741154
9.1597249128,2.572284295,3.1118657913
9.1597249128,2.572284295,3.1118657913
9.1860459614,2.6225335696,2.9730820805
9.1860459614,2.6225335696,2.9730820805
9.1011007591,2.6177479244,2.6273192148
9.1011007591,2.6177479244,2.6273192148
9.0628155975,2.4454646972,2.356930261
9.0628155975,2.4454646972,2.356930261
9.0388873715,2.4358934068,2.3353948576
9.0388873715,2.4358934068,2.3353948576
9.0269232585,2.5950161097,2.4311077616
9.0269232585,2.7230321187999995,2.5567309481
9.0376909602,2.7230321187999995,2.5567309481
9.2183490665,2.6895326024,2.727817764
9.2183490665,2.6895326024,2.727817764
9.3296153174,2.7493531674,2.8151557889
9.3296153174,2.7493531674,2.8151557889
9.1369930981,2.8558337731,2.7912275629
9.1369930981,2.8558337731,2.7912275629
9.056833541,2.7720849821,2.5914268758000003
9.056833541,2.7720849821,2.5914268758000003
9.1932244292,2.5686950611,2.3712871966
9.1932244292,2.5686950611,2.3712871966
9.1106720495,2.596212521,2.4023938904
9.1106720495,2.596212521,2.4023938904
9.1549392676,2.6775684894,2.5519453029
9.1549392676,2.6775684894,2.5519453029
9.2111705987,2.7218357075,2.5938196984
9.2111705987,2.7218357075,2.440679052
9.0604227749,2.7385854657,2.440679052
9.0149591455,2.7242285301,2.297109696
9.0149591455,2.7242285301,2.297109696
9.1609213241,2.7720849821,2.3784656644
9.1322074529,2.5938196984,2.5663022385
9.1322074529,2.5938196984,2.5663022385
9.0293160811,2.3868405435,2.6548366747000003
8.9647098709,2.5268206656,2.6644079651
8.9647098709,2.5268206656,2.6644079651
9.0771725331,2.6273192148,2.6297120374
9.0771725331,2.6273192148,2.6297120374
9.1812603162,2.5459632464,2.7182464736
9.1812603162,2.5459632464,2.7182464736
9.1932244292,2.5698914724,2.8510481279
9.1932244292,2.5698914724,2.8510481279
9.2410808812,2.6907290137,2.8091737324
9.2410808812,2.6907290137,2.8091737324
9.3212404383,2.5351955447,2.5902304645
9.3212404383,2.5351955447,2.5902304645
9.2398844699,2.3521446158,2.5531417142
9.0173519681,2.4562323989,2.7601208691
9.0173519681,2.4562323989,2.7601208691
8.931210354500001,2.6428725617,2.8031916759
8.931210354500001,2.6428725617,2.8031916759
9.0245304359,2.6177479244,2.6823541346
9.0245304359,2.6177479244,2.6823541346
9.0113699116,2.5890340532,2.5794627628
9.0113699116,2.5890340532,2.5794627628
9.1202433399,2.6309084487,2.548356069
9.1202433399,2.6309084487,2.548356069
9.1118684608,2.4753749797,2.5016960283
9.1118684608,2.4753749797,2.5016960283
9.0879402348,2.2959132847,2.5268206656
9.0879402348,2.2959132847,2.5268206656
9.1070828156,2.4263221164,2.6943182476
9.1070828156,2.4263221164,2.6943182476
9.1561356789,2.6105694566,2.7314069979
9.1561356789,2.6105694566,2.7314069979
9.1274218077,2.5507488916,2.5998017549
9.1752782597,2.4023938904,2.4514467537
9.1752782597,2.4023938904,2.4514467537
9.1752782597,2.2444675988,2.3868405435
9.1752782597,2.2444675988,2.3868405435
9.1597249128,2.2719850587,2.4801606249
9.1597249128,2.2719850587,2.4801606249
